Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2006-04-11 18:00:00.000 +0200,Foggy,1,10.911111111111111,10.911111111111111,0.86,22.395100000000003,311.0,2.6565,0.0,1004.61,Foggy in the evening.
2006-04-11 19:00:00.000 +0200,Foggy,1,8.800000000000002,5.294444444444445,0.99,26.5006,339.0,2.6565,0.0,1004.99,Foggy in the evening.
2006-04-12 00:00:00.000 +0200,Foggy,1,8.199999999999998,5.072222222222224,0.96,20.447,341.0,3.1073,0.0,1004.8,Foggy overnight and breezy in the morning.
2006-04-12 01:00:00.000 +0200,Foggy,1,8.177777777777777,4.372222222222221,0.93,27.8691,19.0,3.2039,0.0,1004.89,Foggy overnight and breezy in the morning.
2006-04-14 06:00:00.000 +0200,Foggy,1,5.211111111111112,5.211111111111112,0.92,4.7656,178.0,1.2236,0.0,1013.4,Mostly cloudy throughout the day.
2006-04-18 06:00:00.000 +0200,Foggy,1,6.627777777777777,6.627777777777777,0.96,3.3005,313.0,2.9302,0.0,1012.75,Partly cloudy until night.
2006-04-18 07:00:00.000 +0200,Clear,1,8.68888888888889,8.68888888888889,0.93,1.4329,290.0,5.8443000000000005,0.0,1012.96,Partly cloudy until night.
2006-04-19 02:00:00.000 +0200,Foggy,1,10.405555555555551,10.405555555555551,0.92,3.6064000000000007,144.0,2.0125,0.0,1012.05,Mostly cloudy until night.
2006-04-20 01:00:00.000 +0200,Foggy,1,10.761111111111113,10.761111111111113,0.91,5.1681,178.0,0.6118,0.0,1011.98,Foggy starting overnight continuing until morning.
2006-04-20 03:00:00.000 +0200,Foggy,1,9.67222222222222,9.188888888888888,0.94,5.7155000000000005,123.0,0.6118,0.0,1012.26,Foggy starting overnight continuing until morning.
2006-04-20 04:00:00.000 +0200,Foggy,1,8.15,7.15,0.94,6.7620000000000005,10.0,0.6118,0.0,1012.63,Foggy starting overnight continuing until morning.
2006-04-20 05:00:00.000 +0200,Foggy,1,10.2,10.2,0.95,5.618900000000001,133.0,1.1109,0.0,1012.62,Foggy starting overnight continuing until morning.
2006-04-20 06:00:00.000 +0200,Foggy,1,10.116666666666667,10.116666666666667,0.99,2.254,127.0,0.5152,0.0,1012.85,Foggy starting overnight continuing until morning.
2006-04-20 07:00:00.000 +0200,Foggy,1,10.16111111111111,10.16111111111111,0.99,0.3381,81.0,0.4347,0.0,1013.61,Foggy starting overnight continuing until morning.
2006-04-20 08:00:00.000 +0200,Foggy,1,11.244444444444447,11.244444444444447,0.98,2.7531000000000003,358.0,0.6923,0.0,1013.9,Foggy starting overnight continuing until morning.
2006-04-20 09:00:00.000 +0200,Foggy,1,12.244444444444444,12.244444444444444,0.99,2.254,152.0,2.2057,0.0,1014.31,Foggy starting overnight continuing until morning.
2006-04-20 21:00:00.000 +0200,Clear,1,12.266666666666666,12.266666666666666,0.99,8.05,320.0,6.1985,0.0,1015.76,Foggy starting overnight continuing until morning.
2006-04-21 01:00:00.000 +0200,Foggy,1,11.538888888888891,11.538888888888891,0.96,5.9892,301.0,3.1234,0.0,1016.56,Foggy in the morning.
2006-04-21 02:00:00.000 +0200,Foggy,1,9.43888888888889,8.850000000000001,0.96,5.9731000000000005,326.0,1.8032000000000004,0.0,1017.23,Foggy in the morning.
2006-04-21 06:00:00.000 +0200,Foggy,1,11.949999999999998,11.949999999999998,0.93,4.83,340.0,0.6440000000000001,0.0,1016.17,Foggy in the morning.
2006-04-21 07:00:00.000 +0200,Foggy,1,11.97222222222222,11.97222222222222,1.0,9.66,10.0,1.2558,0.0,1016.45,Foggy in the morning.
2006-04-21 08:00:00.000 +0200,Foggy,1,12.633333333333336,12.633333333333336,0.96,7.6636,7.0,2.3506,0.0,1016.94,Foggy in the morning.
2006-04-21 22:00:00.000 +0200,Foggy,1,11.08888888888889,11.08888888888889,0.95,4.8461,56.0,1.0626000000000002,0.0,1017.54,Foggy in the morning.
2006-04-21 23:00:00.000 +0200,Foggy,1,11.094444444444443,11.094444444444443,0.95,3.381,11.0,1.7871000000000004,0.0,1017.43,Foggy in the morning.
2006-04-22 00:00:00.000 +0200,Foggy,1,9.883333333333333,9.883333333333333,0.96,3.3649,349.0,1.0626000000000002,0.0,1017.65,Foggy starting overnight continuing until morning.
2006-04-22 01:00:00.000 +0200,Clear,1,9.355555555555558,8.633333333333333,0.96,6.423900000000001,321.0,3.3649,0.0,1017.56,Foggy starting overnight continuing until morning.
2006-04-22 02:00:00.000 +0200,Clear,1,9.86111111111111,9.86111111111111,0.96,3.2361,319.0,4.459700000000001,0.0,1016.16,Foggy starting overnight continuing until morning.
2006-04-22 03:00:00.000 +0200,Foggy,1,8.272222222222222,8.272222222222222,0.99,3.3166,313.0,1.9159,0.0,1017.16,Foggy starting overnight continuing until morning.
2006-04-22 04:00:00.000 +0200,Foggy,1,8.866666666666667,8.866666666666667,0.96,2.6243,337.0,1.7549,0.0,1017.15,Foggy starting overnight continuing until morning.
2006-04-22 05:00:00.000 +0200,Foggy,1,8.816666666666666,8.816666666666666,0.96,3.944500000000001,335.0,2.3667,0.0,1017.28,Foggy starting overnight continuing until morning.
2006-04-22 06:00:00.000 +0200,Foggy,1,7.155555555555556,7.155555555555556,1.0,1.8515,319.0,0.2898,0.0,1017.15,Foggy starting overnight continuing until morning.
2006-04-22 07:00:00.000 +0200,Foggy,1,8.850000000000001,8.850000000000001,0.99,3.4776,295.0,1.7549,0.0,1017.36,Foggy starting overnight continuing until morning.
2006-04-22 08:00:00.000 +0200,Foggy,1,11.177777777777775,11.177777777777775,0.93,2.8819000000000004,285.0,2.5599000000000003,0.0,1017.7,Foggy starting overnight continuing until morning.
2006-04-22 21:00:00.000 +0200,Clear,1,12.494444444444447,12.494444444444447,0.91,3.944500000000001,197.0,9.982,0.0,1015.51,Foggy starting overnight continuing until morning.
2006-04-22 22:00:00.000 +0200,Clear,1,12.244444444444444,12.244444444444444,0.89,1.5295,140.0,15.826300000000002,0.0,1015.72,Foggy starting overnight continuing until morning.
2006-04-22 23:00:00.000 +0200,Clear,1,11.416666666666664,11.416666666666664,0.92,2.9624,275.0,14.9569,0.0,1015.79,Foggy starting overnight continuing until morning.
2006-04-23 00:00:00.000 +0200,Clear,1,10.555555555555555,10.555555555555555,0.95,6.0375000000000005,290.0,14.812,0.0,1015.83,Foggy in the morning.
